nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName
ACONF00102,1580,2538,2,BTM,HALL,Hall,Hall
ACONF00103,1648,2968,3,BTM,CONF,BTM Conference Center,BTM Conference
ACONF0010G,1671,2648,G,BTM,CONF,Schlagler Innovation Lobby,Schlagler Lobby
ADEPT00101,1401,2628,1,BTM,DEPT,Neuroscience Waiting Room,Neuro Waiting Room
ADEPT00102,1395,2674,2,BTM,DEPT,Orthopedics and Rhemutalogy,Orthopedics and Rhemutalogy
ADEPT0010G,1530,2495,G,BTM,DEPT,Neuro Testing Waiting Area,Neuro Wating Area
ADEPT00201,1720,2847,1,BTM,DEPT,MS Waiting,MS Waiting
ADEPT0020G,1552,2843,G,BTM,DEPT,Infusion Waiting Area,Infusion Waiting Area
ADEPT00301,986,2852,1,BTM,DEPT,CART Waiting,CART Waiting
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 01,Elevator S 1
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 02,Elevator S 2
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S Floor 3,Elevator S 3
AELEV00S0G,1523,2763,G,BTM,ELEV,Elevator S G,Elevator S G
AELEV00SL2,1630,2742,L2,BTM,ELEV,Elevator S L2,Elevator S L2
AEXIT0010G,1678,2460,G,BTM,EXIT,Fenwood Road,Fenwood Road
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage L2,Parking Garage L2
AHALL00101,1638,2553,1,BTM,HALL,Hall,Hall
AHALL00102,1591,2560,2,BTM,HALL,Hall,Hall
AHALL00103,1534,2732,3,BTM,HALL,Hall,Hall
AHALL0010G,1677,2530,G,BTM,HALL,Hall,Hall
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall
AHALL00201,1608,2596,1,BTM,HALL,Hall,Hall
AHALL00202,1590,2604,2,BTM,HALL,Hall,Hall
AHALL00203,1600,2732,3,BTM,HALL,Hall,Hall
AHALL0020G,1623,2531,G,BTM,HALL,Hall,Hall
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall
AHALL00301,1608,2737,1,BTM,HALL,Hall,Hall
AHALL00302,1590,2745,2,BTM,HALL,Hall,Hall
AHALL00303,1650,2732,3,BTM,HALL,Hall,Hall
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,Hall
AHALL00401,1420,2737,1,BTM,HALL,Hall,Hall
AHALL00402,1528,2745,2,BTM,HALL,Hall,Hall
AHALL00403,1650,2766,3,BTM,HALL,Hall,Hall
AHALL0040G,1528,2531,G,BTM,HALL,Hall,Hall
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,Hall
AHALL00501,1420,2865,1,BTM,HALL,Hall,Hall
AHALL00502,1398,2745,2,BTM,HALL,Hall,Hall
AHALL00503,1650,2855,3,BTM,HALL,Hall,Hall
AHALL0050G,1713,2558,G,BTM,HALL,Hall,Hall
AHALL00601,1678,2865,1,BTM,HALL,Hall,Hall
AHALL00602,1683,2543,2,BTM,HALL,Hall,Hall
AHALL00603,1580,2858,3,BTM,HALL,HallNode,HallNode
AHALL0060G,1595,2583,G,BTM,HALL,Hall,Hall
AHALL00701,1017,2865,1,BTM,HALL,Hall,Hall
AHALL0070G,1712,2647,G,BTM,HALL,Hall,Hall
AHALL00801,1532,2739,1,BTM,HALL,Hall,Hall
AHALL0080G,1602,2706,G,BTM,HALL,Hall,Hall
AHALL00901,1581,2566,1,BTM,HALL,Hall,Hall
AHALL0090G,1524,2726,G,BTM,HALL,Hall,Hall
AHALL01001,1605,2568,1,BTM,HALL,Hall,Hall
AHALL0100G,1600,2853,G,BTM,HALL,Hall,Hall
AHALL0110G,1550,2853,G,BTM,HALL,Hall,Hall
AHALL0120G,1548,2538,G,BTM,HALL,Hall,Hall
AHALL0130G,1582,2533,G,BTM,HALL,Hall,Hall
AHALL0140G,1599,2727,G,BTM,HALL,Hall,Hall
AHALL0150G,1598,2532,G,BTM,HALL,Hall,Hall
AINFO0010G,1484,2710,G,BTM,INFO,BTM Security Desk,Security
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk,Security
AINFO0020G,1699,2707,G,BTM,INFO,Information Desk,Information
ALABS00103,1611,2678,3,BTM,LABS,Innovation Hub,Innovation Hub
ALABS001L2,1667,2682,L2,BTM,LABS,MRI CT Scan Imaging,MRI CT Imaging
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials
AREST00101,1556,2604,1,BTM,REST,Restroom S elevator 1st floor,Restroom
AREST00103,1552,2854,3,BTM,REST,Restroom BTM conference center 3rd floor,Restroom
ARETL00101,1619,2522,1,BTM,RETL,Cafe,Cafe
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris
ASTAI00102,1650,2602,2,BTM,STAI,Stairs Floor 2,Stairs Floor 2
ASTAI0010G,1622,2556,G,BTM,STAI,Schlagler Stairs,Schlager Stairs
BCONF00102,2150,1025,2,45 Francis,CONF,Duncan Reid Conference Room,Conf B0102
BDEPT00102,2260,786,2,45 Francis,DEPT,Comprehensive Breast Heath,DEPT B0102
BDEPT00202,2166,1039,2,45 Francis,DEPT,Oral Medicine and Dentistry,DEPT B0202
BDEPT00302,2385,753,2,45 Francis,DEPT,Lee Bell Breast Center,DEPT B0302
BDEPT00402,2439,902,2,45 Francis,DEPT,Jen Center for Primary Care,DEPT B0402
BDEPT00502,2623,1018,2,45 Francis,DEPT,Ear Nose & Throat,DEPT B0502
BDEPT00602,2782,1303,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102
BDEPT00702,2945,775,2,45 Francis,DEPT,Plastic Surgery,DEPT B0702
BDEPT00802,3155,890,2,45 Francis,DEPT,Outpatient Pharmacy,DEPT B0802
BDEPT00902,3257,879,2,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902
BHALL00102,2238,902,2,45 Francis,HALL,Hallway Intersection 1 Level 2,Hallway B0102
BHALL00202,2279,902,2,45 Francis,HALL,Hallway Intersection 2 Level 2,Hallway B0202
BHALL00302,2238,1028,2,45 Francis,HALL,Hallway Intersection 3 Level 2,Hallway B0302
BHALL00402,2246,1280,2,45 Francis,HALL,Hallway Intersection 4 Level 2,Hallway B0402
BHALL00502,2385,902,2,45 Francis,HALL,Hallway Intersection 5 Level 2,Hallway B0502
BHALL00602,2605,902,2,45 Francis,HALL,Hallway Intersection 6 Level 2,Hallway B0602
BHALL00702,2672,902,2,45 Francis,HALL,Hallway Intersection 7 Level 2,Hallway B0702
BHALL00802,2605,783,2,45 Francis,HALL,Hallway Intersection 8 Level 2,Hallway B0802
BHALL00902,2330,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902
BHALL01002,2713,902,2,45 Francis,HALL,Hallway Intersection 10 Level 2,Hallway B1002
BHALL01102,2912,903,2,45 Francis,HALL,Hallway Intersection 11 Level 2,Hallway B1102
BHALL01202,2945,902,2,45 Francis,HALL,Hallway Intersection 12 Level 2,Hallway B1202
BHALL01302,3135,890,2,45 Francis,HALL,Hallway Intersection 13 Level 2,Hallway B1302
BHALL01402,3296,880,2,45 Francis,HALL,Hallway Intersection 14 Level 2,Hallway B1402
BHALL01502,2672,820,2,45 Francis,HALL,Hallway Intersection 15 Level 2,Hallway B1502
BHALL01602,2721,750,2,45 Francis,HALL,Hallway Intersection 16 Level 2,Hallway B1602
BHALL01702,2945,710,2,45 Francis,HALL,Hallway Intersection 17 Level 2,Hallway B1702
BHALL01802,2610,953,2,45 Francis,HALL,Hallway Intersection 18 Level 2,Hallway B1802
BHALL01902,2678,1032,2,45 Francis,HALL,Hallway Intersection 19 Level 2,Hallway B1902
BHALL02002,2761,1032,2,45 Francis,HALL,Hallway Intersection 20 Level 2,Hallway B2002
BHALL02102,2841,1032,2,45 Francis,HALL,Hallway Intersection 21 Level 2,Hallway B2102
BHALL02202,2900,985,2,45 Francis,HALL,Hallway Intersection 22 Level 2,Hallway B2202
BHALL02302,2912,963,2,45 Francis,HALL,Hallway Intersection 23 Level 2,Hallway B2302
BHALL02502,3163,945,2,45 Francis,HALL,Hallway Intersection 25 Level 2,Hallway B2502
BHALL02602,3296,945,2,45 Francis,HALL,Hallway Intersection 26 Level 2,Hallway B2602
BHALL02702,3296,1043,2,45 Francis,HALL,Hallway Intersection 27 Level 2,Hallway B2702
BHALL02802,3063,1043,2,45 Francis,HALL,Hallway Intersection 28 Level 2,Hallway B2802
BHALL02902,2782,1091,2,45 Francis,HALL,Hallway Intersection 29 Level 2,Hallway B2902
BHALL03002,2782,1165,2,45 Francis,HALL,Hallway Intersection 30 Level 2,Hallway B3002
BHALL03102,2554,1280,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102
BHALL03202,2554,1472,2,45 Francis,HALL,Hallway Intersection 32 Level 2,Hallway B3202
BHALL03302,2782,1280,2,45 Francis,HALL,Hallway Intersection 33 Level 2,Hallway B3302
BHALL03402,2166,1028,2,45 Francis,HALL,Hallway Intersection 34 Level 2,Hallway B3402
BHALL03502,2246,1028,2,45 Francis,HALL,Hallway Intersection 35 Level 2,Hallway B3502
BHALL03602,2279,762,2,45 Francis,HALL,Hallway Intersection 36 Level 2,Hallway B3602
BHALL03702,2322,641,2,45 Francis,HALL,Hallway Intersection 37 Level 2,Hallway B3702
BHALL03802,2279,786,2,45 Francis,HALL,Hallway Intersection 38 Level 2,Hallway B3802
BHALL04102,2678,1067,2,45 Francis,HALL,Hallway Intersection 41 Level 2,Hallway B04102
BHALL04202,2761,1067,2,45 Francis,HALL,Hallway Intersection 42 Level 2,Hallway B04202
BHALL04302,2782,1067,2,45 Francis,HALL,Hallway Intersection 43 level 2,Hallway B04302
BHALL04402,3063,963,2,45 Francis,HALL,Hallway Intersection 44 Level 2,Hallway B4402
BINFO00102,2962,963,2,45 Francis,INFO,Information Desk Level 2,INFO B0102
BINFO00202,3136,963,2,45 Francis,INFO,Valet Service Level 2,INFO B0202
BLABS00102,2246,1350,2,45 Francis,LABS,Vascular Diagnostic Lab,Labs B0102
BLABS00202,2945,995,2,45 Francis,LABS,Outpatient Specimen Collection,Labs B0202
BREST00102,2177,1010,2,45 Francis,REST,Restroom 1 Level 2,REST B0102
BREST00202,2605,841,2,45 Francis,REST,Restroom 2 Level 2,REST B0202
BREST00302,2225,1280,2,45 Francis,REST,Restroom 3 Level 2,REST B0302
BREST00402,2554,1389,2,45 Francis,REST,Restroom 4 Level 2,REST B0402
BREST00502,2782,1152,2,45 Francis,REST,Restroom 5 Level 2,REST B0502
BSERV00102,2853,1067,2,45 Francis,SERV,Patient Financial Services,SERV B0102
BSTAI00102,2177,902,2,45 Francis,STAI,Staircase Intersection 1 Level 2,Stair B0102
BSTAI00202,2279,827,2,45 Francis,STAI,Staircase Intersection 2 Level 2,Stair B0202
BSTAI00302,2554,783,2,45 Francis,STAI,Staircase Intersection 3 Level 2,Stair B0302
BSTAI00502,2945,840,2,45 Francis,STAI,Staircase Intersection 5 Level 2,Stair B0502
BSTAI00602,3217,886,2,45 Francis,STAI,Staircase Intersection 6 Level 2,Stair B0602
BSTAI00702,2811,1165,2,45 Francis,STAI,Staircase Intersection 7 Level 2,Stair B0702
BSTAI00802,2554,1316,2,45 Francis,STAI,Staircase Intersection 8 Level 2,Stair B0802
BSTAI00902,2190,1280,2,45 Francis,STAI,Staircase Intersection 9 Level 2,Stair B0902
BSTAI01002,2238,932,2,45 Francis,STAI,Staircase Intersection 10 Level 2,Stair B1002
CCONF001L1,2255,849,L1,45 Francis,CONF,Anesthesia Conf Floor L1,Conf C001L1
CCONF002L1,2665,1043,L1,45 Francis,CONF,Medical Records Conference Room Floor L1,Conf C002L1
CCONF003L1,2445,1245,L1,45 Francis,CONF,Abrams Conference Room,Conf C003L1
CDEPT002L1,1980,844,L1,Tower,DEPT,Day Surgery Family Waiting Floor L1,Department C002L1
CDEPT003L1,1845,844,L1,Tower,DEPT,Day Surgery Family Waiting Exit Floor L1,Department C003L1
CDEPT004L1,2310,1043,L1,45 Francis,DEPT,Medical Records Film Library Floor L1,Department C004L1
CHALL001L1,1732,924,L1,Tower,HALL,Hallway 1 Floor L1,Hallway C001L1
CHALL001L2,2360,854,L2,45 Francis,HALL,Hallway K Elevator Floor L2,Hallway C001L2
CHALL002L1,2445,1043,L1,45 Francis,HALL,Hallway 2 Floor L1,Hallway C002L1
CHALL002L2,2270,904,L2,45 Francis,HALL,Hallway 2 Floor L2,Hallway C002L2
CHALL003L1,2445,1284,L1,45 Francis,HALL,Hallway 3 Floor L1,Hallway C003L1
CHALL003L2,2215,904,L2,45 Francis,HALL,Hallway 3 Floor L2,Hallway C003L2
CHALL004L1,2770,1070,L1,45 Francis,HALL,Hallway 4 Floor L1,Hallway C004L1
CHALL004L2,2130,904,L2,45 Francis,HALL,Hallway 4 Floor L2,Hallway C004L2
CHALL005L1,1750,1284,L1,Tower,HALL,Hallway 5 Floor L1,Hallway C005L1
CHALL005L2,1745,1280,L2,Tower,HALL,Hallway 5 Floor L2,Hallway C005L2
CHALL006L1,2130,1284,L1,Tower,HALL,Hallway 6 Floor L1,Hallway C006L1
CHALL006L2,1745,1009,L2,Tower,HALL,Hallway 6 Floor L2,Hallway C006L2
CHALL007L1,2130,1045,L1,Tower,HALL,Hallway 7 Floor L1,Hallway C007L1
CHALL007L2,1730,1009,L2,Tower,HALL,Hallway 7 Floor L2,Hallway C007L2
CHALL008L1,2215,1045,L1,45 Francis,HALL,Hallway 8 Floor L1,Hallway C008L1
CHALL008L2,1730,924,L2,Tower,HALL,Hallway 8 Floor L2,Hallway C008L2
CHALL009L1,2220,904,L1,45 Francis,HALL,Hallway 9 Floor L1,Hallway C009L1
CHALL009L2,1730,849,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2
CHALL010L1,2265,904,L1,45 Francis,HALL,Hallway 10 Floor L1,Hallway C010L1
CHALL010L2,2130,849,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2
CHALL011L1,2360,849,L1,45 Francis,HALL,Hallway 11 Floor L1,Hallway C011L1
CHALL012L1,2130,904,L1,45 Francis,HALL,Hallway 12 Floor L1,Hallway C012L1
CHALL013L1,2130,844,L1,45 Francis,HALL,Hallway 13 Floor L1,Hallway C013L1
CHALL014L1,1845,924,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1
CHALL015L1,2300,849,L1,45 Francis,HALL,Hallway 15 Floor L1,Hallway C015L1
CLABS001L1,1965,1284,L1,Tower,LABS,Outpatient Fluoroscopy Floor L1,Lab C001L1
CLABS001L2,2300,854,L2,45 Francis,LABS,Radiation Oncology TX Suite Floor L2,Lab C001L2
CLABS002L1,1750,1090,L1,Tower,LABS,Pre-Op PACU Floor L1,Lab C002L1
CLABS002L2,2215,1280,L2,45 Francis,LABS,Radiation Oncology Floor L2,Lab C002L2
CLABS003L1,2290,1284,L1,45 Francis,LABS,Nuclear Medicine Floor L1,Lab C003L1
CLABS004L1,2320,1284,L1,45 Francis,LABS,Ultrasound Floor L1,Lab C004L1
CLABS005L1,2770,1284,L1,45 Francis,LABS,CSIR MRI Floor L1,Lab C005L1
CREST001L1,1732,1019,L1,Tower,REST,Restroom L Elevator Floor L1,Restroom C001L1
CREST001L2,2300,884,L2,45 Francis,REST,Restroom K Elevator Floor L2,Restroom C001L2
CREST002L1,2065,1284,L1,Tower,REST,Restroom M Elevator Floor L1,Restroom C002L1
CREST002L2,1930,1280,L2,45 Francis,REST,Restroom L Elevator Floor L2,Restroom C002L2
CREST003L1,2300,879,L1,45 Francis,REST,Restroom K Elevator Floor L1,Restroom C003L1
CREST004L1,2770,1160,L1,45 Francis,REST,Restroom H Elevator Floor L1,Restroom C004L1
CRETL001L1,2185,904,L1,45 Francis,RETL,Vending Machine 1 L1,Retail C001L1
CSERV001L1,2490,1043,L1,45 Francis,SERV,Volunteers Floor L1,Service C001L1
CSERV001L2,2015,1280,L2,45 Francis,SERV,Interpreter Services Floor L2,Service C001L2
DCONF00102,4595,550,2,15 Francis,CONF,Carrie M. Hall Conference Center Floor 2,Conference Center
DDEPT00102,4330,700,2,15 Francis,DEPT,Chest Diseases Floor 2,Chest Diseases
DDEPT00202,4240,730,2,15 Francis,DEPT,Thoracic Surgery Clinic Floor 2,Thoracic Surgery Clinic
DDEPT00302,3900,640,2,15 Francis,DEPT,Brigham Health Floor 2,Brigham Health
DDEPT00402,3425,870,2,15 Francis,DEPT,Waiting Room Floor 2,Waiting Room
DELEV00A02,4550,375,2,15 Francis,ELEV,Elevator A Floor 2,Elevator A2
DELEV00B02,4155,650,2,15 Francis,ELEV,Elevator B Floor 2,Elevator B2
DELEV00C02,3955,885,2,15 Francis,ELEV,Elevator C Floor 2,Elevator C2
DELEV00D02,3475,760,2,15 Francis,ELEV,Elevator D Floor 2,Elevator D2
DEXIT00102,4295,750,2,15 Francis,EXIT,15 Lobby Entrance Floor 2,15 Lobby Entrance
DHALL00102,4770,1140,2,15 Francis,HALL,Hallway 1 Floor 2,Hallway D0102
DHALL00202,4750,1080,2,15 Francis,HALL,Hallway 2 Floor 2,Hallway D0202
DHALL00302,4725,995,2,15 Francis,HALL,Hallway 3 Floor 2,Hallway D0302
DHALL00402,4785,975,2,15 Francis,HALL,Hallway 4 Floor 2,Hallway D0402
DHALL00502,4705,925,2,15 Francis,HALL,Hallway 5 Floor 2,Hallway D0502
DHALL00602,4690,870,2,15 Francis,HALL,Hallway 6 Floor 2,Hallway D0602
DHALL00702,4675,820,2,15 Francis,HALL,Hallway 7 Floor 2,Hallway D0702
DHALL00802,4660,770,2,15 Francis,HALL,Hallway 8 Floor 2,Hallway D0802
DHALL00902,4635,680,2,15 Francis,HALL,Hallway 9 Floor 2,Hallway D0902
DHALL01002,4625,650,2,15 Francis,HALL,Hallway 10 Floor 2,Hallway D1002
DHALL01102,4605,655,2,15 Francis,HALL,Hallway 11 Floor 2,Hallway D1102
DHALL01202,4570,555,2,15 Francis,HALL,Hallway 12 Floor 2,Hallway D1202
DHALL01302,4545,460,2,15 Francis,HALL,Hallway 13 Floor 2,Hallway D1302
DHALL01402,4570,455,2,15 Francis,HALL,Hallway 14 Floor 2,Hallway D1402
DHALL01502,4555,390,2,15 Francis,HALL,Hallway 15 Floor 2,Hallway D1502
DHALL01602,4480,580,2,15 Francis,HALL,Hallway 16 Floor 2,Hallway D1602
DHALL01702,4390,605,2,15 Francis,HALL,Hallway 17 Floor 2,Hallway D1702
DHALL01802,4385,585,2,15 Francis,HALL,Hallway 18 Floor 2,Hallway D1802
DHALL01902,4340,625,2,15 Francis,HALL,Hallway 19 Floor 2,Hallway D1902
DHALL02002,4310,585,2,15 Francis,HALL,Hallway 20 Floor 2,Hallway D2002
DHALL02102,4295,530,2,15 Francis,HALL,Hallway 21 Floor 2,Hallway D2102
DHALL02202,4280,475,2,15 Francis,HALL,Hallway 22 Floor 2,Hallway D2202
DHALL02302,4270,440,2,15 Francis,HALL,Hallway 23 Floor 2,Hallway D2302
DHALL02402,4280,435,2,15 Francis,HALL,Hallway 24 Floor 2,Hallway D2402
DHALL02502,4290,470,2,15 Francis,HALL,Hallway 25 Floor 2,Hallway D2502
DHALL02602,4270,650,2,15 Francis,HALL,Hallway 26 Floor 2,Hallway D2602
DHALL02702,4285,715,2,15 Francis,HALL,Hallway 27 Floor 2,Hallway D2702
DHALL02802,4220,660,2,15 Francis,HALL,Hallway 28 Floor 2,Hallway D2802
DHALL02902,4185,665,2,15 Francis,HALL,Hallway 29 Floor 2,Hallway D2902
DHALL03002,4140,680,2,15 Francis,HALL,Hallway 30 Floor 2,Hallway D3002
DHALL03102,4130,650,2,15 Francis,HALL,Hallway 31 Floor 2,Hallway D3102
DHALL03202,4020,715,2,15 Francis,HALL,Hallway 32 Floor 2,Hallway D3202
DHALL03302,4000,645,2,15 Francis,HALL,Hallway 33 Floor 2,Hallway D3302
DHALL03402,3925,740,2,15 Francis,HALL,Hallway 34 Floor 2,Hallway D3402
DHALL03502,3945,790,2,15 Francis,HALL,Hallway 35 Floor 2,Hallway D3502
DHALL03602,3955,830,2,15 Francis,HALL,Hallway 36 Floor 2,Hallway D3602
DHALL03702,3965,860,2,15 Francis,HALL,Hallway 37 Floor 2,Hallway D3702
DHALL03802,3970,880,2,15 Francis,HALL,Hallway 38 Floor 2,Hallway D3802
DHALL03902,3980,910,2,15 Francis,HALL,Hallway 39 Floor 2,Hallway D3902
DHALL04002,3910,685,2,15 Francis,HALL,Hallway 40 Floor 2,Hallway D4002
DHALL04102,3875,560,2,15 Francis,HALL,Hallway 41 Floor 2,Hallway D4102
DHALL04202,3870,540,2,15 Francis,HALL,Hallway 42 Floor 2,Hallway D4202
DHALL04302,3865,750,2,15 Francis,HALL,Hallway 43 Floor 2,Hallway D4302
DHALL04402,3860,725,2,15 Francis,HALL,Hallway 44 Floor 2,Hallway D4402
DHALL04502,3775,745,2,15 Francis,HALL,Hallway 45 Floor 2,Hallway D4502
DHALL04602,3825,760,2,15 Francis,HALL,Hallway 46 Floor 2,Hallway D4602
DHALL04702,3745,780,2,15 Francis,HALL,Hallway 47 Floor 2,Hallway D4702
DHALL04802,3655,805,2,15 Francis,HALL,Hallway 48 Floor 2,Hallway D4802
DHALL04902,3645,775,2,15 Francis,HALL,Hallway 49 Floor 2,Hallway D4902
DHALL05002,3630,810,2,15 Francis,HALL,Hallway 50 Floor 2,Hallway D5002
DHALL05102,3575,825,2,15 Francis,HALL,Hallway 51 Floor 2,Hallway D5102
DHALL05202,3555,730,2,15 Francis,HALL,Hallway 52 Floor 2,Hallway D5202
DHALL05302,3525,840,2,15 Francis,HALL,Hallway 53 Floor 2,Hallway D5302
DHALL05402,3490,845,2,15 Francis,HALL,Hallway 54 Floor 2,Hallway D5402
DHALL05502,3450,850,2,15 Francis,HALL,Hallway 55 Floor 2,Hallway D5502
DHALL05602,3440,800,2,15 Francis,HALL,Hallway 56 Floor 2,Hallway D5602
DHALL05702,3480,790,2,15 Francis,HALL,Hallway 57 Floor 2,Hallway D5702
DHALL05802,3510,790,2,15 Francis,HALL,Hallway 58 Floor 2,Hallway D5802
DHALL05902,3420,850,2,15 Francis,HALL,Hallway 59 Floor 2,Hallway D5902
DHALL06002,4330,580,2,15 Francis,HALL,Hallway 60 Floor 2,Hallway D6002
DINFO00102,4210,630,2,15 Francis,INFO,15 Francis Security Desk Floor 2,Information Desk
DINFO00202,3490,825,2,15 Francis,INFO,Security Desk Thorn Floor 2,Security Desk
DLABS00102,3830,775,2,15 Francis,LABS,MRI Associates Floor 2,MRI Associates
DREST00102,4125,625,2,15 Francis,REST,Restroom B elevator Floor 2,Restroom B
DREST00202,3895,695,2,15 Francis,REST,Restroom C elevator Floor 2,Restroom C
DREST00302,3635,830,2,15 Francis,REST,Restroom C-D elevator Floor 2,Restroom C-D
DREST00402,3525,850,2,15 Francis,REST,Restroom D elevator Floor 2,Restroom D
DRETL00102,4270,480,2,15 Francis,RETL,Pats Place Floor 2,Pats Place
DSTAI00102,4650,675,2,15 Francis,STAI,Staircase1 Floor2,Staircase1
DSTAI00202,4320,550,2,15 Francis,STAI,Staircase2 Floor2,Staircase2
DSTAI00302,4250,440,2,15 Francis,STAI,Staircase3 Floor2,Staircase3
DSTAI00402,4175,620,2,15 Francis,STAI,Staircase4 Floor2,Staircase4
DSTAI00502,4065,630,2,15 Francis,STAI,Staircase5 Floor2,Staircase5
DSTAI00602,3950,865,2,15 Francis,STAI,Staircase6 Floor2,Staircase6
DSTAI00702,3855,565,2,15 Francis,STAI,Staircase7 Floor2,Staircase7
DSTAI00802,3535,645,2,15 Francis,STAI,Staircase8 Floor2,Staircase8
EDEPT00101,2335,860,1,45 Francis,DEPT,Waiting Room 1 Floor 1,Wait 1
EDEPT00201,3100,890,1,45 Francis,DEPT,Wound and Ambulatory 1,WCCAT 1
EDEPT00301,3200,880,1,45 Francis,DEPT,Ocupational Health Floor 1,Ocupational 1
EDEPT00401,2790,1380,1,45 Francis,DEPT,Rehabilitation Services Floor 1,Rehab 1
EEXIT00101,2275,785,1,45 Francis,EXIT,Ambulance Parking Exit Floor 1,AmbExit 1
EEXIT00201,2950,705,1,45 Francis,EXIT,Exit 2 Floor 1,Exit 2
EHALL00301,2240,910,1,45 Francis,HALL,Hallway Node 1 Floor 1,Hall 01
EHALL00401,2275,910,1,45 Francis,HALL,Hallway Node 2 Floor 1,HallE02
EHALL00501,2290,910,1,45 Francis,HALL,Hallway Node 3 Floor 1,HallE03
EHALL00601,2385,910,1,45 Francis,HALL,Hallway Node 4 Floor 1,HallE04
EHALL00701,2385,860,1,45 Francis,HALL,Hallway Node 5 Floor 1,HallE05
EHALL00801,2460,910,1,45 Francis,HALL,Hallway Node 6 Floor 1,HallE06
EHALL00901,2585,910,1,45 Francis,HALL,Hallway Node 7 Floor 1,HallE07
EHALL01001,2585,890,1,45 Francis,HALL,Hallway Node 8 Floor 1,HallE08
EHALL01101,2610,910,1,45 Francis,HALL,Hallway Node 9 Floor 1,HallE09
EHALL01201,2610,954,1,45 Francis,HALL,Hallway Node 10 Floor 1,HallE10
EHALL01301,2660,954,1,45 Francis,HALL,Hallway Node 11 Floor 1,HallE11
EHALL01401,2660,979,1,45 Francis,HALL,Hallway Node 12 Floor 1,HallE12
EHALL01501,2675,910,1,45 Francis,HALL,Hallway Node 13 Floor 1,HallE13
